Product name,Product desciption,Qty,Product unit price,Product link,Product running total,with Tax
XIAO RP2040 SMD,XIAO RP2040,1,4.68,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010428/14672129?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLlj-cx_AB7IYmSUrHfcZ3IQLC&gclid=Cj0KCQiAx8PKBhD1ARIsAKsmGbcn_ZEg4zv6ObEisLv_b6IgijRfvJiZc21Bz6JM8BaIT7ggCM4oFr8aAoSUEALw_wcB,4.68,4.96
PCF8575DBR I/O Expander,IC XPNDR 400KHZ I2C SMBUS 24SSOP,1,3.58,https://www.digikey.com/en/products/detail/texas-instruments/PCF8575DBR/754551,3.58,3.79
10 kΩ,RES 10 OHM 1% 1/8W 0805,4,0.11,https://www.digikey.com/en/products/detail/yageo/RC0805FR-1310RL/13694343?gclsrc=aw.ds&gad_source=1&gad_campaignid=17335707486&gbraid=0AAAAADrbLlj7rEgZ30rWPo_IyYLBKIC1T&gclid=Cj0KCQiAx8PKBhD1ARIsAKsmGbe2BlRAZ_fbKZ1YBvA79CHduwhXdcr3Sd3RQTWvr3wtoWWFxpEhsnEaAhrXEALw_wcB,0.44,0.47
5.1 kΩ,RES 5.1K OHM 5% 1/8W 0805,2,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805JR-075K1L/728338,0.2,0.21
Adafruit 5413 Magnetic Connector,"four 0.1"" spaced contact pogo pins and a right angl",4,6.95,https://www.adafruit.com/product/5358,27.8,29.47
Diode,DIODE STANDARD 100V 150MA SOD123,21,0.11,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148W-7-F/814371,2.31,2.45
,,,,,39.01,41.35
